1629886	MadeiraMadeira	3	desktop	81	82608	SP	São Paulo	São Paulo (capital e regiäes metropolitanas)-409	601	Cartão de crédito - Visa	2.19	4.99	7.18	0	1	0	2.19	0		direto	3	0
1661055	MadeiraMadeira	3	desktop	81	186204	PR	Curitiba	Paraná  (capital e regiäes metropolitanas)-359	601	Cartão de crédito - Visa	119.99	60.5	180.49	0	1	0	119.99	0		direto	13	0
1661280	MadeiraMadeira	3	desktop	81	186204	PR	Curitiba	Paraná  (capital e regiäes metropolitanas)-359	603	Cartão de crédito - Visa	399.9	24.95	424.85	0	1	0	399.9	0		direto	7	0
1675292	MadeiraMadeira	3	mobile	81	186204	PR	Curitiba	Paraná  (capital e regiäes metropolitanas)-359	601	Cartão de crédito - Mastercard	119.99	60.5	180.49	0	1	0	119.99	0		pla-188611	13	0
1677375	MadeiraMadeira	3	mobile	81	1721394	SP	São Caetano do Sul	São Paulo (capital e regiäes metropolitanas)-409	604	Cartão de crédito - Mastercard	1599	49.9	1648.9	0	1	0	1599	0		pla-205004	9	0
1683445	MadeiraMadeira	3	desktop	81	116804	SP	Osasco	São Paulo (capital e regiäes metropolitanas)-409	609	Cartão de crédito - Mastercard	899	49.9	948.9	0	1	0	899	0		direto	9	0
1685185	MadeiraMadeira	3	desktop	81	1637305	PE	Recife	Pernambuco (capital e regiäes metropolitanas)-367	601	Cartão de crédito - Mastercard	499	160.49	659.49	0	1	0	499	0		f027	13	0
1685996	MadeiraMadeira	3	desktop	81	1457943	SP	Cotia	São Paulo (capital e regiäes metropolitanas)-409	609	Cartão de crédito - Visa	899	49.9	948.9	0	1	0	899	0		dra-276471	9	0
1689354	MadeiraMadeira	3	mobile	81	1729112	PR	Curitiba	Paraná  (capital e regiäes metropolitanas)-359	609	Cartão de crédito - Visa	719.94	60.5	780.44	0	6	0	719.94	0		pla-277782	13	0
1690067	MadeiraMadeira	3	mobile	81	1729610	RJ	Rio de Janeiro	Rio de Janeiro (capital e regiäes metropolitanas)-396	609	Cartão de crédito - Amex	899	49.9	948.9	0	1	0	899	0		pla-146894	9	0
1690902	MadeiraMadeira	3	mobile	81	1725391	MG	Belo Horizonte	Minas Gerais (capital e regiäes metropolitanas)-374	601	Cartão de crédito - Visa	1599	49.9	1648.9	0	1	0	1599	0		pla-223430	9	0
1692902	MadeiraMadeira	3	desktop	81	1730648	SP	Santo André	São Paulo (capital e regiäes metropolitanas)-409	607	Cartão de crédito - Mastercard	1499	49.9	1548.9	0	1	0	1499	0		direto	9	0
1693720	MadeiraMadeira	3	mobile	81	1732123	RS	Santa Cruz do Sul	Rio Grande do Sul (interior)-402	603	Cartão de crédito - Mastercard	64.9	25.22	90.12	3.61	1	0	64.9	0		direto	10	3.61
1696303	MadeiraMadeira	3	desktop	81	25949	MG	Juiz de Fora	Minas Gerais (interior)-364	0	Boleto	499	92.29	591.29	0	1	0	499	0		""	13	0
